posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
282,Ramones,Sheena Is a Punk Rocker,,0.5195248298152657,0.17800531011905235,257.1444502879533,0.6200000000000001,0.0,1
283,Elvis Presley,Don't Be Cruel,,0.5055998085603987,0.17323416621093848,243.61240600191866,0.54,0.0,1
284,Suzi Quatro,48 Crash,,0.5872774502456531,0.20121945796907525,326.5812745323053,0.78,0.0,4
285,Kansas,Carry On Wayward Son,,0.4825752449338575,0.16534523703279763,222.01060480061594,0.6200000000000001,0.0,1
286,Santana,Evil Ways,,0.5479030234534779,0.18772855888270565,289.26438065050115,0.64,0.0,1
287,Peter Schilling,Major Tom (Coming Home),,0.5519297382287949,0.1891082361785842,293.3660109783718,0.72,0.0,3
288,Nirvana,About a Girl,,0.48240444984755687,0.16528671734219003,224.06627524681252,0.52,0.0,1
289,Robert Plant,29 Palms,,0.545128817174917,0.1867780298211302,292.9408223111587,0.8799999999999999,0.0,7
290,Nirvana,In Bloom,,0.5605357663379946,0.19205692816509828,309.3214547643005,0.6200000000000001,0.0,1
291,Kaiser Chiefs,Ruby,,0.5577374782936617,0.19109814794412014,307.82823508135573,0.52,0.0,2
292,The B-52's,Legal Tender,,0.5123122866852033,0.17553406927947532,262.8721684870374,0.66,0.0,1
293,Foo Fighters,Times Like These,,0.5276731109274865,0.1807971637958705,278.49520721754374,0.6799999999999999,0.0,9
294,"Emerson, Lake & Palmer",Lucky Man,,0.4939455148765083,0.16924104395313014,244.94130778249144,0.55,0.088,0
295,Tears for Fears,Shout,,0.5312076114661823,0.18200819323738968,282.9558749087987,0.6000000000000001,0.0,2
296,The Doors,Riders on the Storm,,0.47665033852378147,0.16331518044565246,229.09786794482991,0.6200000000000001,0.0,1
297,The Police,Message in a Bottle,,0.48882987812671297,0.16748826823608207,242.23840506811237,0.54,0.0,1
298,Focus,Hocus Pocus,,0.44722600408565777,0.1532334914173006,203.65676760201927,0.69,0.03200000000000001,0
299,Simple Minds,Don't You (Forget About Me),,0.5224550224979022,0.17900928495768856,281.0461800949611,0.74,0.0,3
300,Duran Duran,Save a Prayer,,0.5397577223337929,0.18493772624369945,298.7606606062582,0.6000000000000001,0.0,1
301,Aerosmith,No More No More,,0.4695868172890257,0.1608949991265569,229.24307058280618,0.44000000000000006,0.0,1
302,Creedence Clearwater Revival,Proud Mary,,0.4333296699950047,0.14847217662084666,195.86278143643324,0.62,0.096,0
303,Pixies,Here Comes Your Man,,0.5141122802433711,0.17615080286591023,277.03490270415654,0.55,0.088,0
304,Midnight Oil,Blue Sky Mine,,0.5338772957578439,0.1829229098264431,297.0696581591507,0.66,0.0,1
305,AC/DC,Jailbreak,,0.38737299385557816,0.13272599488175954,152.77594603316987,0.6599999999999999,0.06400000000000002,0
