ID_Musica,Artista,Musica,Genero,Pais,prob_aparicao_raw,prob_aparicao,posicao_prevista,posicao_min,posicao_max,num_aparicoes_historicas,melhor_posicao_historica,posicao_media_historica,apareceu_ano_anterior,posicao_ano_anterior,frequencia_aparicao,streak_anos,anos_desde_primeira,aparicao_unica,forca_musica,anos_desde_ultima
Big Brother and the Holding Company|||Ball And Chain|||NONE,Big Brother and the Holding Company,Ball And Chain,Rock psicodélico,Estados Unidos,0.5151228568457416,0.038634214263430625,311,236,386,1,170,170.0,0,,0.041666666666666664,0,23,1,0,23
Guns N' Roses|||Better|||NONE,Guns N' Roses,Better,Hard rock,Estados Unidos,0.5146069577459259,0.038595521830944446,251,176,326,1,182,182.0,0,,0.0625,0,15,1,0,15
Triumvirat|||I Believe|||NONE,Triumvirat,I Believe,Rock progressivo,Alemanha,0.5145270163025124,0.038589526222688436,266,191,341,1,464,464.0,0,,0.06666666666666667,0,14,1,0,14
Def Leppard|||Bringin' On the Heartbreak|||NONE,Def Leppard,Bringin' On the Heartbreak,Hard rock,Reino Unido,0.5138096895564636,0.038535726716734775,287,212,362,1,353,353.0,0,,0.0625,0,15,1,0,15
The Rolling Stones|||Hot Stuff|||NONE,The Rolling Stones,Hot Stuff,Rock,Reino Unido,0.4276268225848838,0.03848641403263955,302,227,377,1,420,420.0,0,,0.2,0,4,1,0,4
"The Beach Boys|||Help Me, Rhonda|||NONE",The Beach Boys,"Help Me, Rhonda",Rock,Estados Unidos,0.5125849032790092,0.038443867745925696,268,193,343,1,270,270.0,0,,0.04,0,24,1,0,24
Black Sabbath|||Snowblind|||NONE,Black Sabbath,Snowblind,Heavy metal,Reino Unido,0.5112997729551076,0.03834748297163308,263,188,338,1,227,227.0,0,,0.041666666666666664,0,23,1,0,23
Richie Sambora|||Hard Times Come Easy|||NONE,Richie Sambora,Hard Times Come Easy,Rock,Estados Unidos,0.5109663575052711,0.038322476812895336,322,247,397,1,378,378.0,0,,0.06666666666666667,0,14,1,0,14
Smash Mouth|||Walkin' on the Sun|||NONE,Smash Mouth,Walkin' on the Sun,Ska punk,Estados Unidos,0.36495320253214836,0.03832008626587558,350,275,425,1,471,471.0,0,,0.25,0,3,1,0,3
The Pretenders|||Brass in Pocket|||NONE,The Pretenders,Brass in Pocket,Rock,Reino Unido,0.5100186758862905,0.03825140069147179,316,241,391,1,151,151.0,0,,0.05,0,19,1,0,19
